"shoulder","belly","loin","ham","other","simulation","carcass"
2415,6577,4675,5523,20934,10,5
4058,10880,7737,8932,34389,10,6
731,1933,1441,1663,6276,10,7
3946,10677,7705,8981,33821,10,8
351,879,645,734,2866,10,9
298,779,559,625,2361,10,10
220,658,462,538,2120,10,11
2663,7269,5233,6122,23341,10,12
315,906,597,730,2891,10,13
158,413,314,322,1389,10,14
1423,3784,2825,3177,12225,10,15
10315,28512,20131,23690,90455,10,16
1605,4285,3209,3683,14023,10,17
304,829,644,667,2683,10,18
2789,7744,5339,6308,24666,10,19
257,700,551,645,2440,10,20
1483,4149,3029,3553,13357,10,21
2612,7087,5076,5969,22411,10,22
1320,3491,2661,3071,11878,10,23
1582,4332,3123,3619,13775,10,24
196,614,411,503,1825,10,25
369,995,675,785,3054,10,26
831,2328,1638,1980,7418,10,27
1264,3561,2600,2945,11349,10,28
117,331,209,297,1002,10,29
173,516,378,424,1619,10,30
158,417,284,335,1315,10,31
9806,26967,19395,22452,85653,10,32
2567,6979,5105,5896,22672,10,33
230,743,499,589,2213,10,34
1351,3729,2753,3115,11912,10,35
1386,3718,2801,3251,12203,10,36
2435,6489,4726,5520,20996,10,37
745,2043,1475,1664,6314,10,38
10323,27977,20332,23558,89772,10,39
10502,28667,20743,24077,91498,10,40
115,329,218,284,1135,10,41
2920,8184,5885,6828,26186,10,42
197,422,280,356,1334,10,43
1595,4557,3240,3851,14937,10,44
150,404,292,389,1346,10,45
1592,4310,3005,3554,13858,10,46
2763,7679,5460,6326,24224,10,47
2438,6528,4699,5567,21066,10,48
183,452,324,394,1448,10,49
301,815,583,686,2629,10,50
