"part","simulation","carcass","n_zeros"
"belly",6,6,0
"belly",6,7,0
"belly",6,8,0
"belly",6,9,0
"belly",6,10,0
"belly",6,11,0
"belly",6,12,0
"belly",6,13,0
"belly",6,14,0
"belly",6,15,0
"belly",6,16,0
"belly",6,17,0
"belly",6,18,0
"belly",6,19,10
"belly",6,20,0
"belly",6,21,0
"belly",6,22,0
"belly",6,23,0
"belly",6,24,10
"belly",6,25,0
"belly",6,26,0
"belly",6,27,0
"belly",6,28,0
"belly",6,29,0
"belly",6,30,0
"belly",6,31,0
"belly",6,32,0
"belly",6,33,0
"belly",6,34,0
"belly",6,35,0
"belly",6,36,0
"belly",6,37,0
"belly",6,38,0
"belly",6,39,0
"belly",6,40,0
"belly",6,41,0
"belly",6,42,0
"belly",6,43,0
"belly",6,44,0
"belly",6,45,0
"belly",6,46,0
"belly",6,47,0
"belly",6,48,0
"belly",6,49,0
"belly",6,50,0
"belly",7,1,0
"belly",7,2,0
"belly",7,3,0
"belly",7,4,0
"belly",7,5,0
"belly",7,6,0
"belly",7,7,0
"belly",7,8,0
"belly",7,9,0
"belly",7,10,0
"belly",7,11,0
"belly",7,12,0
"belly",7,13,0
"belly",7,14,0
"belly",7,15,0
"belly",7,16,0
"belly",7,17,0
"belly",7,18,0
"belly",7,19,0
"belly",7,20,0
"belly",7,21,0
"belly",7,22,0
"belly",7,23,0
"belly",7,24,0
"belly",7,25,0
"belly",7,26,0
"belly",7,27,0
"belly",7,28,0
"belly",7,29,0
"belly",7,30,0
"belly",7,31,0
"belly",7,32,0
"belly",7,33,0
"belly",7,34,0
"belly",7,35,0
"belly",7,36,0
"belly",7,37,0
"belly",7,38,0
"belly",7,39,0
"belly",7,40,0
"belly",7,41,0
"belly",7,42,0
"belly",7,43,0
"belly",7,44,0
"belly",7,45,0
"belly",7,46,0
"belly",7,47,0
"belly",7,48,0
"belly",7,49,0
"belly",7,50,0
"belly",8,1,0
"belly",8,2,0
"belly",8,3,0
"belly",8,4,0
"belly",8,5,0
"belly",8,6,1
"belly",8,7,0
"belly",8,8,0
"belly",8,9,0
"belly",8,10,0
"belly",8,11,0
"belly",8,12,0
"belly",8,13,0
"belly",8,14,0
"belly",8,15,0
"belly",8,16,0
"belly",8,17,0
"belly",8,18,0
"belly",8,19,0
"belly",8,20,0
"belly",8,21,0
"belly",8,22,0
"belly",8,23,0
"belly",8,24,0
"belly",8,25,0
"belly",8,26,0
"belly",8,27,0
"belly",8,28,0
"belly",8,29,0
"belly",8,30,0
"belly",8,31,0
"belly",8,32,0
"belly",8,33,0
"belly",8,34,0
"belly",8,35,0
"belly",8,36,0
"belly",8,37,0
"belly",8,38,0
"belly",8,39,0
"belly",8,40,0
"belly",8,41,0
"belly",8,42,0
"belly",8,43,0
"belly",8,44,0
"belly",8,45,0
"belly",8,46,0
"belly",8,47,0
"belly",8,48,0
"belly",8,49,0
"belly",8,50,0
"belly",9,1,0
"belly",9,2,0
"belly",9,3,0
"belly",9,4,0
"belly",9,5,0
"belly",9,6,0
"belly",9,7,0
"belly",9,8,0
"belly",9,9,0
"belly",9,10,0
"belly",9,11,0
"belly",9,12,0
"belly",9,13,0
"belly",9,14,0
"belly",9,15,0
"belly",9,16,0
"belly",9,17,0
"belly",9,18,0
"belly",9,19,0
"belly",9,20,0
"belly",9,21,0
"belly",9,22,0
"belly",9,23,0
"belly",9,24,0
"belly",9,25,0
"belly",9,26,0
"belly",9,27,0
"belly",9,28,0
"belly",9,29,0
"belly",9,30,0
"belly",9,31,0
"belly",9,32,0
"belly",9,33,0
"belly",9,34,0
"belly",9,35,0
"belly",9,36,0
"belly",9,37,0
"belly",9,38,0
"belly",9,39,0
"belly",9,40,0
"belly",9,41,0
"belly",9,42,0
"belly",9,43,0
"belly",9,44,0
"belly",9,45,0
"belly",9,46,0
"belly",9,47,0
"belly",9,48,0
"belly",9,49,0
"belly",9,50,0
"belly",10,1,0
"belly",10,2,0
"belly",10,3,0
"belly",10,4,0
"belly",10,5,0
"belly",10,6,0
"belly",10,7,0
"belly",10,8,0
"belly",10,9,0
"belly",10,10,0
"belly",10,11,0
"belly",10,12,0
"belly",10,13,0
"belly",10,14,0
"belly",10,15,0
"belly",10,16,0
"belly",10,17,0
"belly",10,18,0
"belly",10,19,0
"belly",10,20,0
"belly",10,21,0
"belly",10,22,0
"belly",10,23,0
"belly",10,24,0
"belly",10,25,0
"belly",10,26,0
"belly",10,27,0
"belly",10,28,0
"belly",10,29,2
"belly",10,30,0
"belly",10,31,0
"belly",10,32,0
"belly",10,33,0
"belly",10,34,0
"belly",10,35,0
"belly",10,36,0
"belly",10,37,0
"belly",10,38,0
"belly",10,39,0
"belly",10,40,0
"belly",10,41,1
"belly",10,42,0
"belly",10,43,0
"belly",10,44,0
"belly",10,45,1
"belly",10,46,0
"belly",10,47,0
"belly",10,48,0
"belly",10,49,0
"belly",10,50,0
"ham",1,1,0
"ham",1,2,0
"ham",1,3,0
"ham",1,4,0
"ham",1,5,0
"ham",1,6,0
"ham",1,7,0
"ham",1,8,0
"ham",1,9,0
"ham",1,10,0
"ham",1,11,0
"ham",1,12,0
"ham",1,13,0
"ham",1,14,0
"ham",1,15,0
"ham",1,16,0
"ham",1,17,0
"ham",1,18,0
"ham",1,19,0
"ham",1,20,0
"ham",1,21,0
"ham",1,22,0
"ham",1,23,0
"ham",1,24,0
"ham",1,25,0
"ham",1,26,0
"ham",1,27,0
"ham",1,28,0
"ham",1,29,0
"ham",1,30,0
"ham",1,31,0
"ham",1,32,0
"ham",1,33,0
"ham",1,34,0
"ham",1,35,0
"ham",1,36,0
"ham",1,37,0
"ham",1,38,0
"ham",1,39,0
"ham",1,40,0
"ham",1,41,0
"ham",1,42,0
"ham",1,43,0
"ham",1,44,0
"ham",1,45,0
"ham",1,46,0
"ham",1,47,0
"ham",1,48,0
"ham",1,49,0
"ham",1,50,0
"ham",2,1,0
"ham",2,2,0
"ham",2,3,0
"ham",2,4,0
"ham",2,5,0
"ham",2,6,0
"ham",2,7,0
"ham",2,8,0
"ham",2,9,0
"ham",2,10,0
"ham",2,11,0
"ham",2,12,0
"ham",2,13,78
"ham",2,14,101
"ham",2,15,0
"ham",2,16,0
"ham",2,17,114
"ham",2,18,0
"ham",2,19,0
"ham",2,20,0
"ham",2,21,0
"ham",2,22,0
"ham",2,23,0
"ham",2,24,0
"ham",2,25,0
"ham",2,26,0
"ham",2,27,0
"ham",2,28,88
"ham",2,29,0
"ham",2,30,0
